Tagsvideo,canal,Published,Description,monetized,abordagem,conteudo,objeto,suporte,publico-alvo,relevante
"Restauração, Patrimônio, Educação patrimonial, História de Itaguaí, Itaguaí",EduardoProfHistória,01/12/2021,"['Trabalho de restauração de livros raros e antigos realizado para o Centro de Memória de Itaguaí no ano de 2019 pela restauradora Zuleide Cristina Gomes', 'com pesquisa sendo realizada pelo então graduando em História Eduardo de Almeida Vieira.']",False,"T, é, c, n, i, c, a","p, r, o, c, e, s, s, o, s",patrimonio do Centro de Memória de Itaguaí,"papel,livros raros","p, r, o, f, i, s, s, i, o, n, a, i, s",registro de intervenção
"pintura, arte, restauração, guerra e paz, Portinari, CHC, Ciência Hoje das Crianças, ciência",CHCnaTV,2011-04-04,['Restauradores e cientistas trabalham em conjunto para devolver as cores a painéis pintados por Portinari. Visite também www.chc.org.br'],False,"T, é, c, n, i, c, a","Explicativo, entrevista com restaurador",patrimonializado,"['pintura', 'guerra e paz de Portinári']",crianças,"explicativo, publico infantil, chama para a exposição. Video formulado para crianças, a narradora fala de forma acessivel e as imagens são da restauração do guerra e paz do portinari. Tem entrevistas com os diversos profissionais envolvidos na restauração, o que é bem bacana, estes usam termos tecnicos que não sao exatamente traduzidos pela narradora. Foca na ciencia. Ateliê aberto. Canal de DC."
,Eduardo Petrella,2013-03-20,"['Reportagem produzida para a Rede Internacional de Televisão', 'Notícias.<br>19/03/2013']",False,"T, é, c, n, i, c, a","noticia, pinacoteca de SP","musealizado, profissão","['pintura', 'escultura']",leigos,"noticia, imagens de processos, explicações de profissionais. Termos técnicos não explicados."
"Arte, Cultura, UNIMEP",TVUNIMEP,2018-07-03,"As histórias são diversas, mas os objetos que retratam esses momentos são únicos. Para permanecerem intactos por longo tempo é preciso que o trabalho do restaurador e conservador seja fundamental e essencial. O programa é uma parceria da TV UNIMEP, com o Centro Cultural Martha Watts e Núcleo Universitário de Cultura da UNIMEP.",False,"T, é, c, n, i, c, a","Entrevista com restaurador, materiais, processos",profissão,tela,"leigos, porém com jargões","Instituição privada, educação"
"P, r, o, m, o, t, o, r, ,, d, e, ,, J, u, s, t, i, ç, a, ,, M, i, n, i, s, t, é, r, i, o, ,, P, ú, b, l, i, c, o, ,, S, a, n, t, a, ,, C, a, t, a, r, i, n, a, ,, R, e, s, t, a, u, r, a, ç, ã, o, ,, N, o, s, s, a,  , s, e, n, h, o, r, a,  , d, a, s,  , d, o, r, e, s, ,, G, a, r, o, p, a, b, a, ,, o, b, r, a,  , s, a, c, r, a, ,, p, a, t, r, i, m, ô, n, i, o,  , h, i, s, t, ó, r, i, c, o, ,, a, r, t, e,  , s, a, c, r, a, ,, F, u, n, d, a, ç, ã, o,  , c, a, t, a, r, i, n, e, n, s, e,  , d, e,  , c, u, l, t, u, r, a, ,, A, t, e, c, o, r",ministeriopublicosc,2014-05-26,Neste vídeo os restauradores explicam as técnicas e os métodos usadas para recuperar uma imagem de quase 150 anos. A Nossa Senhora das Dores pertence à Paróquia de Garopaba e foi encomendada a um artista baiano em 1876.,False,"L, e, i, g, a, /, T, é, c, n, i, c, a","E, x, p, l, i, c, a, t, i, v, o, ,, L, a, b, o, r, a, t, ó, r, i, o,  , (, A, R, T, E, C, O, R, ), ,, m, a, t, e, r, i, a, i, s, ,, p, r, o, c, e, s, s, o, s","N, o, s, s, a,  , S, e, n, h, o, r, a,  , d, a, s,  , D, o, r, e, s, ,, p, e, r, t, e, n, c, e,  , à,  , P, a, r, ó, q, u, i, a,  , d, e,  , G, a, r, o, p, a, b, a",madeira policromada,"l, e, i, g, o, s,  , p, o, r, é, m,  , c, o, m,  , j, a, r, g, õ, e, s","E, n, t, r, e, v, i, s, t, a, s,  , c, o, m,  , p, r, o, f, i, s, s, i, o, n, a, i, s,  , e, m,  , a, t, e, l, i, ê, ,,  , v, i, d, e, o,  , i, n, s, t, i, t, u, c, i, o, n, a, l,  , d, a,  , F, u, n, d, a, ç, ã, o,  , c, a, t, a, r, i, n, e, n, s, e,  , d, e,  , c, u, l, t, u, r, a"
"stj, superior, tribunal, justiça, cidadania, direito, judiciário, lei, cidadão, restauração, livro, biblioteca",Superior Tribunal de Justiça (STJ),2012-02-22,['Conheça a arte da restauração de livros.<br><br>01/06/2010'],False,"T, é, c, n, i, c, a","Explicativo, Laboratório (LACOR), materiais, processos",acervo STJ,"['papel', 'livros']","leigos, porém com jargões",feito por e na instituição (STJ)
,William Amorim,2021-10-30,"O Daqui traz tudo que é destaque no Maranhão. Apresentação de Heloísa Batalha, Max Paavianni e Nynrod weber Para assistir essa e outras reportagens acesse o link abaixo globoplay",False,"T, é, c, n, i, c, a","Entrevista com restaurador, repostagem, noticia",objetos sacros,"['mobiliario', 'bens integrados']","l, e, i, g, o, s",impactos da restauração na vida da população
"conservação de documentos, preservação de documentos, limpeza de documentos, lineco",Fruto de Arte Materiais Artísticos,2015-08-28,"['Linha de materiais para conservação', 'restauração', 'preservação e limpeza de documentos', 'possibilitando maior durabilidade e longevidade.<br>Você encontra esses materiais para conservação e preservação em nossa loja virtual']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a",materiais para restauração,,,profissionais,"Engajamento curioso, linha de materiais para restauradores"
"João Pessoa, TV Correio, Afiliada Record, Paraíba, SomosComoVocê",TV Correio,2021-03-15,"['15-03-2021 TV Correio', 'Somos Como Você. Afiliada da Record TV na Paraíba.  Nosso Whatsapp +55 83 9332-1212 ou +55 83 98164-4585 Inscreva-se no canal TV CorreioFacebook Instagram Twitter Tiktok Site oficial']",True,"L, e, i, g, a, /, T, é, c, n, i, c, a",noticia,igreja,bens integrados,leigos,noticia sobre a torre de uma igreja que irá ser restaurada
"Teoria do Restauro, Teoria da Conservação, Conservação de Obra de arte, Restauro, Patrimônio, Obras restauradas, salvador munoz vinas, bisturi restauro, tintas para restauro",MAS SP - Museu de Arte Sacra de São Paulo,2020-07-24,"['O Museu de Arte Sacra de São Paulo instituição da Secretaria de Cultura e Economia Criativa do Estado de São Paulo', 'convida a professora Titina Corso para esse Conversas MAS sobre materiais e técnicas usados pelos profissionais da conservação e restauração. No vídeo a professora aborda também reflexões éticas em ações técnicas diante dos bens patrimoniais. Essa conversa se transformará em breve em curso mais amplo disponível na plataforma EAD do Museu de Arte Sacra de São Paulo. Titina Corso', 'é artista plástica', 'pedagoga e arte/educadora híbrida', 'desenvolvendo projetos com olhares para a transdisciplinaridade nas Artes e Educação Patrimonial. Strictu Senso em TIC’s na educação', 'Latu Sensu em Metodologia no Ensino Superior', 'graduação em Pedagogia e Artes Plásticas', 'especialista técnica em Conservação e Restauração de Arte Sacra e de bens culturais. Professora especialista no Museu de Arte Sacra de São Paulo. Siga nossas redes sociais  museuartesacra. Inscreva-se no canal. MAS 💒']",False,"T, é, c, n, i, c, a","aula, materiais",,,"iniciados, profissionais",Engajamento
"tv canção nova, músicas, católico, Missa, Pregação, Homilia, brazil, missa ao vivo, live missa, Santa Missa, Canção Nova Oficial, Comunidade Canção Nova, Programação TV Canção Nova, TV Canção Nova AO VIVO, AO VIVO TV, cnnoticias, Canção Nova Notícias, Notícias Canção Nova",TV Canção Nova,2021-11-15,Jornal Canção Nova Notícias Edição da Manhã<br><br>Você sabe como é feita a restauração de uma obra de arte  Esse trabalho exige muita atenção e cuidado.<br><br>A gente vai saber um pouquinho mais com a Gabriele Dutra.,True,"T, é, c, n, i, c, a","noticia, divulgação de uma exposição didática sobre a profissão","musealizado, religioso",tridimensional policromado de Aleijadinho,"leigos, profissionais, crianças",Divulgação de um evento de popularização de restauração
"Angélica Mendes, Cultura, Tubarão, Unisul TV",Unisul Universidade,2014-09-30,Uma equipe de especialistas da Unisul está realizando um trabalho de restauração de obras importantes para a cidade,False,"T, é, c, n, i, c, a","Conceitos, Processos, Apresentação de trabalho, Noticia","musealizado, artístico, particular, religioso, patrimonializado, histórico",,leigos,"noticia sobre trabalhos de restauração, coordenada por museologo."
"Casa Fiat, Casa Fiat de Cultura, Aleijadinho, Barroco, Arte Barroca, Escultura, Restauro, Restauração, Exposição, Circuito Liberdade, Belo Horizonte, mestre",Stellantis South America,2022-01-14,"['As obras São Manuel e São Joaquim já estão restauradas e em exposição para serem contempladas. E o processo de restauração de Sant’Ana Mestra pode ser acompanhado em tempo real. 😍 Neste vídeo', 'você dá uma espiada no restauro e acompanha depoimentos de pessoas que fazem parte dessa missão']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"história, restauração de tela, jacobina, Inglaterra, Philip Mold, Tudor",Tudor Brasil - Tudo Sobre História,2017-11-14,"['Philip Mold', 'que apresenta o programa da BBC', 'Fake or Fortune', 'recentemente compartilhou em seu Twitter um vídeo onde mostra a restauração de um retrato datado do século XVII', 'a partir da remoção do escurecido e envelhecido verniz da tela', 'com o uso de um tipo de gel que remove impurezas', 'mas mantém a cor e aspecto natural da tela. O produto consiste em uma mistura de gel e solvente que é aplicada na superfície da tela', 'onde podemos ver uma dama do período jacobino. Segundo Mold', 'a mulher não identificada tinha 36 anos e foi pintada em 1617. Ele continua com suas pesquisas a respeito do quadro', 'e seu vídeo teve mais de 150 mil compartilhamentos!']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"Restauro de pintura, limpeza de verniz, cleaning a painting, old varnish cleaning",Diana CondeCR,2015-09-27,['Aqui fica um video que estou a fazer para dar a conhecer (e satisfazer a curiosidade de quem gosta!) as metodologias que se usam em conservação e restauro de pintura de cavalete. Este trecho do video incide sobre a fase de limpeza de um verniz oxidado (envelhecido). <br><br>Visite o site  www.dianaconde-cr.pt <br><br>ou vá a facebook www.facebook.com/Diana-Conde-Conserva%C3%A7%C3%A3o-e-Restauro-612997265411214/timeline/'],False,"L, e, i, g, a, /, T, é, c, n, i, c, a","musica, processos",,tela,leigos,"Views, Entretenimento"
,TV Brasil,,,,,,,,,
,William Amorim,2023-01-16,"As noites de domingo da Record TV têm um programa especial voltado para a informação e o entretenimento de toda a família. Apresentado por Carolina Ferraz e Sergio Aguiar, o Domingo Espetacular é uma revista eletrônica com conteúdo relevante sobre os mais distintos segmentos, com notícias sobre o Brasil e o mundo. O Domingo Espetacular vai ao ar todos os finais de semana, às 19h45, na Record TV.",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","repostagem, noticia","musealizado, artístico, particular, religioso, patrimonializado, histórico",[],"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"Museu Paulista, Museu do Ipiranga, Pinacoteca, Pinacoteca do Estado, Restauração, Valéria Mendonça, Yara Petrella, arte, conservador, conservação, mercado, museu, obra, obra de arte, profissional, profissão, restaurador",UNIVESP,2012-10-09,"['Você sabia que existe um curso de graduação para formar restauradores e conservadores de arte É uma das coisas que o programa Profissões - Restaurador vai mostrar. Em uma visita ao Museu Paulista conhecido como Museu do Ipiranga', 'a UNIVESP TV conversou com Yara Petrella', 'restauradora. O programa tem a participação de outros profissionais que trabalham com restauração de diversos tipos de obras de arte', 'como Valéria Mendonça Pinacoteca do Estado de SP e Márcia Rizzo PUC-SP. Como é o mercado de trabalho e qual a importância de um restaurador']",False,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, particular, religioso, patrimonializado, histórico",,"leigos, profissionais, crianças","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
"",Titina Corso,2021-04-20,Created by Filmix,False,"T, é, c, n, i, c, a","s, l, i, d, e, s, h, o, w,  , d, e,  , e, t, a, p, a, s,  , d, e,  , i, n, t, e, r, v, e, n, ç, ã, o","E, s, c, u, l, t, u, r, a,  , S, a, c, r, a",Escultura ceramica,"p, r, o, f, i, s, s, i, o, n, a, i, s, ,, d, e, v, o, t, o, s",
"vivieuvi, Canal, de, Arte, rembramdt, notícias, arte contemporânea, vivinews",vivieuvi,2019-07-19,"['Notícias - Quadro do Rembrandt é restaurado ao vivo no museu', 'visita guiada por coleção LGBTQ+ em Londres', 'o Hino Nacional por Machado de Assis', 'Egito reivindica venda de Tutancamon', 'dicas de filmes para pensar arquitetura', 'e mais vídeos e memes. O curso de Arte e Internet está disponível aqui.  curso de introdução à história da arte com o Prof. Rodrigo Naves está disponível neste link aqui. Minha página no Facebook', 'Meu instagram', 'Grupo do Facebook']",True,"L, e, i, g, a, /, T, é, c, n, i, c, a","Explicativo, Ambiente de trabalho, materiais, ASMR, processos","musealizado, artístico, histórico",Pintura,"leigos, jovens, adultos","Engajamento, Boas práticas DC, Inspiração, Apresentam estratégias de DC, Inovações, cibercultura"
